V,U
Divinopolis,Carmo do Cajuru
Divinopolis,Pedra do Indaia
Divinopolis,Betim
Formiga,Divinopolis
Araxa,Divinopolis
Oliveira,Divinopolis
Carmo do Cajuru,Pedra do Indaia
Belo Horizonte,Contagem
Belo Horizonte,Betim
Belo Horizonte,Montes Claros
Belo Horizonte,Ribeirao das Neves
Ipatinga,Governador Valadares
Belo Horizonte,Ipatinga
Belo Horizonte,Sete Lagoas
Belo Horizonte,Santa Luzia
Betim,Ribeirao das Neves
Contagem,Ribeirao das Neves
Santa Luzia,Ribeirao das Neves
Betim,Contagem
Uberaba,Uberlandia
Betim,Santa Luzia
Contagem,Santa Luzia
Lavras,Belo Horizonte
Itumbiara,Uberlandia
Itumbiara,Uberaba
Patrocinio,Uberaba
Patrocinio,Uberlandia
Patrocinio,Itumbiara
Araxa,Uberaba
Araxa,Patrocinio
Campo Belo,Lavras
Campo Belo,Oliveira
Oliveira,Lavras
Formiga,Campo Belo
Formiga,Araxa
Itabira,Ipatinga
Itabira,Joao Monlevade
Itabira,Belo Horizonte
Itabira,Santa Luzia
Diamantina,Governador Valadares
Diamantina,Sete Lagoas
Diamantina,Curvelo
Diamantina,Coroaci
Diamantina,Sete Lagoas
Caratinga,Ipatinga
Caratinga,Governador Valadares
Caratinga,Ouro Preto
Coroaci,Governador Valadares
Joao Monlevade,Ipatinga
Joao Monlevade,Belo Horizonte
Joao Monlevade,Santa Luzia
Ouro Preto,Nova Lima
Ouro Preto,Ouro Branco
Ouro Branco,Conselheiro Lafaiete
Ouro Branco,Belo Horizonte
Conselheiro Lafaiete,Belo Horizonte
Curvelo,Sete Lagoas
Curvelo,Governador Valadares
Nova Lima,Belo Horizonte
Nova Lima,Contagem
Nova Lima,Betim
Nova Lima,Ribeirao das Neves
Nova Lima,Santa Luzia
Prata,Uberlandia
Prata,Uberaba
Lagoa Santa,Santa Luzia
Lagoa Santa,Sete Lagoas
Juiz de Fora,Lavras
Juiz de Fora,Conselheiro Lafaiete
